p_date,job_title,company_name,company_score,city,state,est_wage
30d,"Data Analyst",Hulu,3.9,"Santa Monica",CA,$61856-$90999
9d,"Data Analyst",Arkestro,5,"San Francisco",CA,$64781-$94842
24h,"Data Analyst",Splunk,4.1,"San Diego",CA,$58499-$87771
1d,"Data Analyst","FocusKPI Inc.",3.3,"Los Angeles",CA,$54315-$83145
1d,"Data Analyst","Tripoint Solutions",4.5,"Silver Spring",MD,$65000-$75000
24h,"Data Analyst",Splunk,4.1,McLean,VA,$61026-$90957
1d,"Data Analyst","Tripoint Solutions",4.5,Arlington,VA,$65000-$75000
30d,"Data Analyst",Adobe,4.4,"New York",NY,$105200-$136600
6d,"Data Analyst","A-V Services Inc.",3.8,"New York",NY,$66969-$103057
12d,"Data Analyst","Student Leadership Network",4.4,"New York",NY,$70000-$80000
30d,"Data Analyst","Planned Parenthood Metropolitan NJ",3.5,Newark,NJ,$57000-$70000
30d,"Data Analyst","Excel Impact",5,"New York State",NY,$90000-$100000
30d,"Data Analyst","Excel Impact",5,Florida,FL,$90000-$100000
24h,"Data Analyst",Splunk,4.1,Miami,FL,$52581-$79423
30d,"Data Analyst","CAE Inc.",3.7,Tampa,FL,$54384-$78592
30d,"Data Analyst","Brooks Bell",3,Raleigh,NC,$56955-$81115
30d,"Data Analyst","MIAC Analytics",3.5,Charlotte,NC,$50000-$70000
20d,"Data Analyst","University of North Carolina at Chapel Hill",3.9,"Chapel Hill",NC,$74500-$90000
30d,"Data Analyst",Viasat,4.2,Atlanta,GA,$90000-$110000
24h,"Data Analyst",Splunk,4.1,Boston,MA,$62181-$90692
30d,"Data Analyst",Deloitte,4,Boston,MA,$61858-$84457
24h,"Data Analyst","Northeastern University",4.3,Boston,MA,$55866-$84089
30d,"Data Analyst","Geode Capital Management",3.6,Boston,MA,$62184-$91481
30d,"Data Analyst","Excel Impact",5,Michigan,MI,$90000-$100000
15d,"Data Analyst","Alteryx Inc.",4,"Ann Arbor",MI,$56569-$81250
30d,"Data Analyst","Excel Impact",5,Texas,TX,$90000-$100000
30d,"Data Analyst","Excel Impact",5,Ohio,OH,$90000-$100000
24h,"Data Analyst",Splunk,4.1,Chicago,IL,$58558-$85252
22d,"Data Analyst","Martin Brower",3.6,Rosemont,IL,$50254-$70424
30d,"Data Analyst",Luminex,3.3,Northbrook,IL,$59898-$78761
30d,"Data Analyst",Smartsheet,4.3,Seattle,WA,$65132-$92999
6d,"Python Developer with Data Science","Ventechsoft INC",5,"California City",CA,$87215-$138469
1d,"Data Scientist",Atlassian,4.7,"Mountain View",CA,$105100-$148697
4d,"Data Scientist",Wish,3.3,"San Francisco",CA,$126561-$180062
30d,"Data Scientist",Upgrade,3.8,"San Francisco",CA,$106265-$151911
1d,"Data Scientist","Scripps Health",4,"San Diego",CA,$78746-$116894
1d,"Data Scientist","FocusKPI Inc.",3.3,"San Bruno",CA,$90617-$130727
30d,"Data Scientist",Ezoic,4.5,Carlsbad,CA,$84670-$121135
30d,"Data Scientist","Lawrence Livermore National Laboratory",4.4,Livermore,CA,$96685-$144965
24h,"Data Scientist",Cutera,2.8,Brisbane,CA,$107178-$162013
6d,"Data Scientist",Americor,3.6,Irvine,CA,$75206-$110412
18d,"Data Scientist","Stanislaus County",3.6,Stanislaus,CA,$81078-$98571
8d,"Data Scientist","Cheetah Technologies",4.1,Pleasanton,CA,$150000-$160000
30d,"Data Scientist","Sealing Technologies Inc.",3.5,"Silver Spring",MD,$83710-$116100
30d,"Data Scientist",Deloitte,4,McLean,VA,$89351-$119403
5d,"Data Scientist",SYSTEMTEC,4.4,Richmond,VA,$110000-$120000
30d,"Data Scientist","Sealing Technologies Inc.",3.5,Arlington,VA,$83710-$116100
1d,"Data Scientist","Grant Thornton",3.9,Arlington,VA,$93375-$128655
4d,"Data Scientist",CyberCoders,4.1,Chantilly,VA,$140000-$160000
